OID,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
6897,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM
6898,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM
6899,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM
7156,Start Time: 8:00 AM - End Time: 5:00 PM,Start Time: 8:00 AM - End Time: 5:00 PM,Start Time: 8:00 AM - End Time: 5:00 PM,Start Time: 8:00 AM - End Time: 5:00 PM,Start Time: 8:00 AM - End Time: 5:00 PM,Start Time: 8:00 AM - End Time: 5:00 PM,Start Time: 8:00 AM - End Time: 5:00 PM
7019,Start Time: 9:00 AM - End Time: 6:00 PM,Start Time: 9:00 AM - End Time: 6:00 PM,Start Time: 9:00 AM - End Time: 6:00 PM,Start Time: 9:00 AM - End Time: 6:00 PM,Start Time: 9:00 AM - End Time: 6:00 PM,Start Time: 9:00 AM - End Time: 6:00 PM,Start Time: 9:00 AM - End Time: 6:00 PM
7113,Start Time: 9:00 AM - End Time: 8:00 PM,Start Time: 9:00 AM - End Time: 8:00 PM,Start Time: 9:00 AM - End Time: 8:00 PM,Start Time: 9:00 AM - End Time: 8:00 PM,Start Time: 9:00 AM - End Time: 8:00 PM,Start Time: 9:00 AM - End Time: 8:00 PM,Start Time: 9:00 AM - End Time: 8:00 PM
7042,Start Time: 9:00 AM - End Time: Dusk,Start Time: 9:00 AM - End Time: Dusk,Start Time: 9:00 AM - End Time: Dusk,Start Time: 9:00 AM - End Time: Dusk,Start Time: 9:00 AM - End Time: Dusk,Start Time: 9:00 AM - End Time: Dusk,Start Time: 9:00 AM - End Time: Dusk
6722,Start Time: Check ferry schedule - End Time: Check ferry schedule,Start Time: Check ferry schedule - End Time: Check ferry schedule,Start Time: Check ferry schedule - End Time: Check ferry schedule,Start Time: Check ferry schedule - End Time: Check ferry schedule,Start Time: Check ferry schedule - End Time: Check ferry schedule,Start Time: Check ferry schedule - End Time: Check ferry schedule,Start Time: Check ferry schedule - End Time: Check ferry schedule
6723,Start Time: Check ferry schedule - End Time: Check ferry schedule,Start Time: Check ferry schedule - End Time: Check ferry schedule,Start Time: Check ferry schedule - End Time: Check ferry schedule,Start Time: Check ferry schedule - End Time: Check ferry schedule,Start Time: Check ferry schedule - End Time: Check ferry schedule,Start Time: Check ferry schedule - End Time: Check ferry schedule,Start Time: Check ferry schedule - End Time: Check ferry schedule
6734,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk,Start Time: Dawn - End Time: Dusk
